timestamp,value
1502640000,-0.006616404
1502640060,-0.020604676
1502640120,-0.04676233
1502640180,-0.07460897
1502640240,-0.09019963
1502640300,-0.11397537
1502640360,-0.1277038
1502640420,-0.12969595
1502640480,-0.12523527
1502640540,-0.1405661
1502640600,-0.1347196
1502640660,-0.14312123
1502640720,-0.14996378
1502640780,-0.18149155
1502640840,-0.19370423
1502640900,-0.2251454
1502640960,-0.24896444
1502641020,-0.27629137
1502641080,-0.28127173
1502641140,-0.29244503
1502641200,-0.29261827
1502641260,-0.29920098
1502641320,-0.308079
1502641380,-0.32089797
1502641440,-0.34714222
1502641500,-0.3867252
1502641560,-0.42167425
1502641620,-0.4491744
1502641680,-0.47567853
1502641740,-0.48555258
1502641800,-0.48221794
1502641860,-0.4777573
1502641920,-0.47849354
1502641980,-0.48234788
1502642040,-0.5072929
1502642100,-0.52699775
1502642160,-0.54665935
1502642220,-0.5673602
1502642280,-0.5880179
1502642340,-0.59009665
1502642400,-0.5821714
1502642460,-0.58000594
1502642520,-0.57216734
1502642580,-0.57922643
1502642640,-0.5988014
1502642700,-0.62578183
1502642760,-0.65038043
1502642820,-0.6899201
1502642880,-0.7224439
1502642940,-0.7499874
1502643000,-0.7791333
1502643060,-0.80165315
1502643120,-0.8084957
1502643180,-0.8192792
1502643240,-0.8235666
1502643300,-0.8435747
1502643360,-0.85842913
1502643420,-0.8856694
1502643480,-0.904205
1502643540,-0.92248064
1502643600,-0.9291933
1502643660,-0.94859505
1502643720,-0.9384611
1502643780,-0.93408704
1502643840,-0.9398036
1502643900,-0.9530123
1502643960,-0.96847314
1502644020,-0.99224883
1502644080,-1.0089654
1502644140,-1.0126033
1502644200,-1.0160246
1502644260,-1.0174104
1502644320,-1.027371
1502644380,-1.0291034
1502644440,-1.0489382
1502644500,-1.0643122
1502644560,-1.0795132
1502644620,-1.0989149
1502644680,-1.1189228
1502644740,-1.125852
1502644800,-1.1322616
1502644860,-1.1387576
1502644920,-1.139927
1502644980,-1.1535254
1502645040,-1.1638327
1502645100,-1.1706752
1502645160,-1.1837974
1502645220,-1.207703
1502645280,-1.2113408
1502645340,-1.2199589
1502645400,-1.2396638
1502645460,-1.2537819
1502645520,-1.2461165
1502645580,-1.251097
1502645640,-1.2478056
1502645700,-1.2323016
1502645760,-1.2277542
1502645820,-1.2447308
