timestamp,value
1496160000,-0.8986659
1496160060,-0.90515786
1496160120,-0.89866596
1496160180,-0.90515786
1496160240,-0.90515786
1496160300,-0.90515786
1496160360,-0.89866596
1496160420,-0.89866596
1496160480,-0.89217407
1496160540,-0.89217407
1496160600,-0.8856821
1496160660,-0.89542
1496160720,-0.8824361
1496160780,-0.8597145
1496160840,-0.83374673
1496160900,-0.83699274
1496160960,-0.82400894
1496161020,-0.82141215
1496161080,-0.841537
1496161140,-0.86425877
1496161200,-0.854521
1496161260,-0.84802896
1496161320,-0.84088784
1496161380,-0.8343959
1496161440,-0.8376419
1496161500,-0.84737974
1496161560,-0.8506258
1496161620,-0.86036366
1496161680,-0.8629604
1496161740,-0.8564685
1496161800,-0.85971445
1496161860,-0.8629605
1496161920,-0.86620635
1496161980,-0.86296034
1496162040,-0.8597145
1496162100,-0.84673053
1496162160,-0.84348464
1496162220,-0.83374673
1496162280,-0.82400894
1496162340,-0.83374673
1496162400,-0.83374673
1496162460,-0.83699274
1496162520,-0.84023875
1496162580,-0.8564685
1496162640,-0.84023875
1496162700,-0.8467307
1496162760,-0.84673065
1496162820,-0.84023875
1496162880,-0.82076293
1496162940,-0.817517
1496163000,-0.7915494
1496163060,-0.7785654
1496163120,-0.7753196
1496163180,-0.7818114
1496163240,-0.78505737
1496163300,-0.79804116
1496163360,-0.7947953
1496163420,-0.79804116
1496163480,-0.7915494
1496163540,-0.79479533
1496163600,-0.77856547
1496163660,-0.7883034
1496163720,-0.7753195
1496163780,-0.78505737
1496163840,-0.78505737
1496163900,-0.82076293
1496163960,-0.83374673
1496164020,-0.85971445
1496164080,-0.85971445
1496164140,-0.83699274
1496164200,-0.8045332
1496164260,-0.77207357
1496164320,-0.7298761
1496164380,-0.70066243
1496164440,-0.71040034
1496164500,-0.70066243
1496164560,-0.70390844
1496164620,-0.71689224
1496164680,-0.71364623
1496164740,-0.69417053
1496164800,-0.6844327
1496164860,-0.6682029
1496164920,-0.6487271
1496164980,-0.6357433
1496165040,-0.6357433
1496165100,-0.6324973
1496165160,-0.6227594
1496165220,-0.6162675
